N,P,K,ph,crop
210,94,59,5.28,chickpea
157,13,19,7.57,barley
201,90,51,5.24,chickpea
126,21,23,7.42,cotton
209,90,53,5.34,chickpea
26,66,10,5.65,millet
59,99,24,5.32,lentil
28,76,18,5.83,millet
195,79,38,7.06,soybean
43,86,28,5.08,lentil
53,93,23,5.03,lentil
36,62,19,5.58,millet
44,85,22,5.36,lentil
216,97,55,5.52,chickpea
182,77,30,7.17,soybean
158,12,18,7.54,barley
156,16,19,7.75,barley
171,62,64,6.19,sugarcane
105,38,37,5.36,rice
80,41,45,6.04,wheat
61,58,53,6.92,maize
57,84,22,5.15,lentil
89,45,46,6.39,wheat
137,28,22,7.27,cotton
46,90,20,5.34,lentil
138,23,21,7.09,cotton
175,64,61,6.06,sugarcane
45,97,23,5.13,lentil
65,59,56,6.99,maize
157,14,14,7.66,barley
161,66,63,6.31,sugarcane
35,64,19,5.53,millet
150,11,14,7.81,barley
44,86,28,5.04,lentil
219,94,52,5.51,chickpea
129,27,20,7.36,cotton
57,96,21,5.16,lentil
196,78,36,7.18,soybean
186,77,35,6.92,soybean
215,93,59,5.35,chickpea
165,61,66,6.13,sugarcane
84,46,43,6.27,wheat
49,88,21,5.45,lentil
42,97,24,5.35,lentil
189,74,35,6.89,soybean
97,46,48,6.17,wheat
38,60,15,5.87,millet
216,97,52,5.25,chickpea
190,71,37,7.05,soybean
211,98,54,5.27,chickpea
186,78,36,6.91,soybean
23,72,18,5.85,millet
211,91,55,5.31,chickpea
112,35,35,5.33,rice
75,53,51,6.91,maize
60,52,56,6.84,maize
50,93,21,5.01,lentil
98,44,47,6.34,wheat
171,67,67,6.39,sugarcane
160,62,61,6.26,sugarcane
117,30,39,5.44,rice
215,95,53,5.37,chickpea
112,32,34,5.03,rice
104,38,30,5.06,rice
93,49,44,6.33,wheat
70,54,53,6.79,maize
128,26,22,7.16,cotton
46,98,23,5.01,lentil
101,34,31,5.35,rice
117,35,32,5.38,rice
182,73,38,6.94,soybean
58,82,25,5.19,lentil
81,40,40,6.46,wheat
105,30,37,5.46,rice
144,13,16,7.72,barley
99,45,43,6.2,wheat
213,97,54,5.37,chickpea
55,92,29,5.36,lentil
152,15,16,7.66,barley
102,30,30,5.36,rice
90,44,45,6.1,wheat
198,78,34,7.09,soybean
31,70,16,5.6,millet
154,14,18,7.53,barley
161,62,66,6.31,sugarcane
173,67,64,6.35,sugarcane
210,97,51,5.3,chickpea
44,93,24,5.21,lentil
195,73,30,6.86,soybean
47,86,20,5.24,lentil
214,92,58,5.54,chickpea
71,58,54,6.63,maize
88,42,49,6.03,wheat
64,55,52,6.68,maize
136,20,29,7.04,cotton
217,93,53,5.39,chickpea
219,94,50,5.57,chickpea
182,78,34,7.05,soybean
198,78,37,6.91,soybean
55,93,20,5.49,lentil
28,69,10,5.76,millet
157,10,17,7.92,barley
124,20,29,7.0,cotton
202,97,56,5.22,chickpea
193,79,39,7.08,soybean
37,60,13,5.6,millet
196,79,38,6.9,soybean
201,93,54,5.47,chickpea
57,85,28,5.44,lentil
67,55,56,6.88,maize
73,59,52,6.77,maize
196,77,31,6.96,soybean
210,90,54,5.32,chickpea
158,18,19,7.7,barley
161,63,65,6.32,sugarcane
46,99,29,5.21,lentil
113,36,36,5.33,rice
95,49,47,6.37,wheat
137,29,28,7.13,cotton
22,70,16,5.79,millet
63,53,51,6.8,maize
97,40,43,6.36,wheat
132,21,28,7.14,cotton
65,58,55,6.84,maize
21,64,13,5.74,millet
28,63,11,5.72,millet
88,46,49,6.44,wheat
205,96,55,5.41,chickpea
164,63,64,6.07,sugarcane
195,74,32,7.07,soybean
176,65,62,6.28,sugarcane
69,58,58,6.99,maize
210,92,56,5.25,chickpea
168,60,67,6.11,sugarcane
101,33,38,5.12,rice
175,64,63,6.12,sugarcane
106,30,32,5.2,rice
126,25,26,7.1,cotton
156,18,10,7.99,barley
35,67,12,5.82,millet
186,73,33,6.99,soybean
71,56,55,6.7,maize
216,93,51,5.32,chickpea
166,60,67,6.29,sugarcane
219,90,50,5.22,chickpea
103,36,39,5.12,rice
65,51,51,6.53,maize
170,61,64,6.36,sugarcane
175,62,63,6.15,sugarcane
212,94,57,5.36,chickpea
92,47,46,6.26,wheat
199,74,39,7.07,soybean
76,51,54,6.89,maize
146,12,10,7.58,barley
92,49,48,6.36,wheat
214,90,52,5.38,chickpea
80,46,47,6.4,wheat
176,63,66,6.12,sugarcane
85,48,46,6.36,wheat
198,77,34,7.06,soybean
111,31,35,5.28,rice
69,51,57,6.61,maize
190,72,33,6.94,soybean
84,45,46,6.29,wheat
215,96,56,5.33,chickpea
84,42,43,6.35,wheat
61,58,59,6.64,maize
81,49,45,6.07,wheat
32,65,13,5.57,millet
57,83,23,5.4,lentil
160,62,63,6.11,sugarcane
214,95,57,5.48,chickpea
101,35,33,5.33,rice
54,86,20,5.47,lentil
109,35,38,5.18,rice
72,55,57,6.96,maize
163,61,62,6.14,sugarcane
167,61,69,6.1,sugarcane
177,66,68,6.24,sugarcane
107,39,38,5.08,rice
172,69,65,6.38,sugarcane
96,46,41,6.05,wheat
202,98,59,5.36,chickpea
150,10,19,7.54,barley
35,73,17,5.99,millet
206,91,59,5.35,chickpea
136,26,27,7.36,cotton
121,23,28,7.33,cotton
67,56,58,6.61,maize
145,10,15,7.66,barley
123,23,27,7.38,cotton
25,60,18,5.57,millet
31,76,18,5.95,millet
48,93,24,5.38,lentil
215,92,50,5.28,chickpea
73,54,58,6.52,maize
70,58,53,6.89,maize
137,29,29,7.09,cotton
79,57,53,6.74,maize
34,70,11,5.55,millet
161,69,64,6.1,sugarcane
39,61,18,5.56,millet
199,78,39,7.01,soybean
132,29,27,7.25,cotton
210,92,52,5.36,chickpea
43,93,23,5.03,lentil
74,52,56,6.64,maize
74,50,55,6.54,maize
136,28,27,7.25,cotton
44,99,25,5.3,lentil
49,94,27,5.03,lentil
176,64,68,6.04,sugarcane
98,41,47,6.47,wheat
158,14,13,7.8,barley
214,95,58,5.21,chickpea
44,99,28,5.32,lentil
68,53,50,6.56,maize
28,67,16,5.61,millet
76,55,52,6.64,maize
153,16,17,7.94,barley
68,52,58,6.54,maize
193,77,30,6.93,soybean
187,72,34,7.0,soybean
181,78,36,7.05,soybean
50,80,26,5.08,lentil
103,39,34,5.41,rice
97,47,46,6.46,wheat
34,68,10,5.86,millet
88,40,46,6.0,wheat
89,48,46,6.03,wheat
178,64,60,6.18,sugarcane
91,41,42,6.38,wheat
69,57,56,6.64,maize
105,32,37,5.41,rice
92,40,44,6.1,wheat
52,89,22,5.46,lentil
136,23,21,7.37,cotton
199,77,30,7.12,soybean
164,60,61,6.18,sugarcane
96,40,48,6.1,wheat
57,91,21,5.19,lentil
69,52,51,6.76,maize
49,87,20,5.37,lentil
45,80,25,5.34,lentil
42,86,20,5.09,lentil
128,26,20,7.12,cotton
189,79,39,6.89,soybean
86,40,43,6.34,wheat
32,72,15,5.77,millet
78,52,53,6.79,maize
182,75,35,7.07,soybean
73,55,59,6.51,maize
100,34,38,5.05,rice
71,59,50,6.57,maize
60,54,59,6.61,maize
28,79,14,5.71,millet
76,58,58,6.73,maize
78,53,55,6.54,maize
164,60,62,6.08,sugarcane
168,65,62,6.21,sugarcane
62,53,54,6.58,maize
50,87,28,5.02,lentil
135,25,21,7.23,cotton
209,95,59,5.41,chickpea
174,67,61,6.28,sugarcane
200,99,58,5.26,chickpea
26,70,19,5.98,millet
137,25,21,7.43,cotton
97,49,41,6.19,wheat
182,76,39,7.02,soybean
60,52,59,6.75,maize
57,90,29,5.02,lentil
153,16,18,7.56,barley
87,41,40,6.44,wheat
192,79,32,7.11,soybean
177,67,61,6.07,sugarcane
209,96,54,5.42,chickpea
213,90,53,5.5,chickpea
103,31,31,5.14,rice
43,93,24,5.3,lentil
82,48,44,6.02,wheat
165,63,65,6.15,sugarcane
51,96,22,5.15,lentil
130,20,29,7.24,cotton
56,98,23,5.25,lentil
116,34,37,5.39,rice
28,77,15,5.65,millet
179,65,60,6.01,sugarcane
184,75,31,7.19,soybean
58,86,25,5.43,lentil
187,77,33,6.96,soybean
41,85,21,5.41,lentil
28,67,18,5.68,millet
178,68,69,6.13,sugarcane
178,65,67,6.13,sugarcane
78,56,50,6.63,maize
101,30,36,5.16,rice
78,58,57,6.7,maize
80,48,48,6.14,wheat
103,32,36,5.27,rice
193,72,38,7.05,soybean
71,55,57,6.87,maize
90,40,49,6.02,wheat
84,40,49,6.3,wheat
71,55,50,6.67,maize
120,23,22,7.15,cotton
79,55,50,6.72,maize
117,34,30,5.37,rice
162,60,68,6.19,sugarcane
153,11,13,7.63,barley
172,60,61,6.13,sugarcane
152,14,13,7.76,barley
85,40,42,6.37,wheat
133,26,24,7.33,cotton
114,37,35,5.07,rice
20,68,11,5.98,millet
155,19,16,7.68,barley
150,10,17,7.51,barley
23,76,13,5.53,millet
150,15,13,7.73,barley
129,23,28,7.25,cotton
123,24,20,7.18,cotton
43,86,22,5.1,lentil
78,57,55,6.74,maize
87,42,48,6.07,wheat
218,99,52,5.21,chickpea
195,70,35,6.88,soybean
117,34,32,5.36,rice
147,12,11,7.89,barley
24,66,11,5.51,millet
193,71,32,7.11,soybean
34,68,10,6.0,millet
142,19,17,7.57,barley
114,31,32,5.45,rice
29,63,17,5.95,millet
52,91,20,5.01,lentil
200,97,56,5.27,chickpea
27,61,11,5.68,millet
43,98,28,5.19,lentil
50,98,28,5.08,lentil
139,23,23,7.33,cotton
55,89,21,5.15,lentil
46,85,25,5.34,lentil
63,51,57,6.54,maize
217,95,59,5.5,chickpea
142,15,19,7.7,barley
69,52,50,6.77,maize
189,73,32,6.98,soybean
165,68,67,6.35,sugarcane
84,46,41,6.14,wheat
203,91,59,5.33,chickpea
143,18,13,7.99,barley
130,23,24,7.07,cotton
49,82,28,5.15,lentil
63,52,59,6.59,maize
118,37,37,5.34,rice
51,91,29,5.43,lentil
41,80,26,5.14,lentil
128,28,24,7.19,cotton
176,68,64,6.34,sugarcane
202,96,55,5.31,chickpea
71,58,52,6.98,maize
150,17,15,7.71,barley
72,50,53,6.66,maize
134,25,28,7.27,cotton
59,85,28,5.34,lentil
38,62,16,5.66,millet
145,17,17,7.59,barley
161,67,61,6.1,sugarcane
141,17,19,7.75,barley
178,60,63,6.33,sugarcane
149,15,13,7.57,barley
64,56,57,6.59,maize
40,98,21,5.36,lentil
114,30,36,5.36,rice
71,50,52,6.65,maize
149,18,17,7.77,barley
108,38,30,5.4,rice
115,30,39,5.47,rice
160,62,60,6.17,sugarcane
206,96,53,5.58,chickpea
138,24,21,7.48,cotton
87,42,49,6.24,wheat
132,28,23,7.07,cotton
39,75,12,5.65,millet
206,98,52,5.24,chickpea
87,43,45,6.14,wheat
111,34,39,5.05,rice
199,75,36,7.02,soybean
196,78,36,6.89,soybean
167,66,63,6.28,sugarcane
174,66,62,6.14,sugarcane
115,38,32,5.49,rice
122,24,27,7.01,cotton
72,50,51,6.71,maize
199,77,38,7.08,soybean
117,35,38,5.43,rice
212,95,59,5.34,chickpea
185,75,38,7.01,soybean
148,14,18,7.83,barley
113,39,31,5.41,rice
205,95,59,5.39,chickpea
79,52,56,6.97,maize
198,73,37,7.2,soybean
89,49,43,6.26,wheat
32,74,10,6.0,millet
59,90,24,5.34,lentil
96,41,47,6.18,wheat
130,20,22,7.13,cotton
112,34,39,5.45,rice
70,52,57,6.65,maize
35,61,12,5.89,millet
202,94,52,5.21,chickpea
65,59,53,6.62,maize
188,73,32,7.12,soybean
105,31,32,5.02,rice
133,24,29,7.46,cotton
180,72,32,7.15,soybean
90,48,49,6.41,wheat
46,98,27,5.46,lentil
185,73,33,7.04,soybean
24,66,18,5.78,millet
179,67,67,6.34,sugarcane
124,28,22,7.39,cotton
97,40,47,6.41,wheat
26,63,14,5.95,millet
165,64,62,6.09,sugarcane
76,55,59,6.61,maize
139,20,22,7.04,cotton
71,57,55,6.71,maize
208,97,52,5.35,chickpea
108,31,33,5.39,rice
171,68,63,6.29,sugarcane
201,92,52,5.47,chickpea
122,23,24,7.29,cotton
118,34,39,5.18,rice
26,74,10,5.62,millet
70,50,55,6.84,maize
162,66,68,6.36,sugarcane
176,60,61,6.11,sugarcane
210,92,52,5.24,chickpea
158,14,11,7.91,barley
94,41,48,6.31,wheat
50,93,28,5.36,lentil
106,30,33,5.22,rice
183,76,35,6.86,soybean
209,97,58,5.27,chickpea
147,19,19,7.79,barley
204,95,57,5.26,chickpea
100,31,30,5.19,rice
94,48,41,6.3,wheat
124,27,28,7.27,cotton
184,75,32,7.12,soybean
54,80,28,5.11,lentil
108,30,34,5.12,rice
205,93,55,5.42,chickpea
53,84,27,5.02,lentil
129,24,23,7.27,cotton
31,65,14,5.92,millet
156,15,16,7.62,barley
125,25,21,7.18,cotton
136,24,26,7.34,cotton
152,12,18,7.74,barley
98,41,41,6.21,wheat
183,71,34,7.12,soybean
21,61,11,5.89,millet
22,64,14,5.56,millet
189,71,38,6.89,soybean
213,93,59,5.43,chickpea
30,74,11,5.58,millet
186,79,33,6.91,soybean
189,78,34,7.06,soybean
116,36,34,5.14,rice
135,28,29,7.15,cotton
198,77,38,6.98,soybean
112,33,30,5.04,rice
56,92,20,5.45,lentil
64,54,50,6.66,maize
181,78,39,7.16,soybean
150,10,11,7.92,barley
215,97,56,5.33,chickpea
204,94,59,5.34,chickpea
216,98,57,5.39,chickpea
102,33,39,5.02,rice
56,98,22,5.22,lentil
105,34,37,5.23,rice
66,50,51,6.64,maize
157,19,15,7.59,barley
136,21,27,7.17,cotton
42,91,29,5.43,lentil
56,85,26,5.36,lentil
210,96,50,5.44,chickpea
206,96,57,5.44,chickpea
124,28,28,7.46,cotton
180,70,35,6.81,soybean
53,94,26,5.24,lentil
29,62,14,5.88,millet
110,39,31,5.12,rice
119,37,31,5.43,rice
137,22,21,7.38,cotton
107,34,31,5.27,rice
35,71,19,5.75,millet
146,17,16,7.95,barley
75,57,52,6.82,maize
78,54,57,6.95,maize
30,74,11,5.81,millet
39,71,19,5.81,millet
62,56,51,6.96,maize
130,26,29,7.35,cotton
30,60,17,5.51,millet
81,43,43,6.36,wheat
139,23,27,7.28,cotton
208,99,53,5.25,chickpea
52,89,24,5.26,lentil
152,10,11,7.7,barley
188,75,38,7.17,soybean
139,21,20,7.27,cotton
219,93,55,5.36,chickpea
167,60,66,6.11,sugarcane
180,75,37,7.07,soybean
162,64,62,6.25,sugarcane
206,99,51,5.21,chickpea
157,11,15,7.83,barley
180,75,37,7.06,soybean
176,65,68,6.02,sugarcane
69,54,59,6.75,maize
21,78,10,5.71,millet
158,15,15,7.59,barley
71,53,56,6.59,maize
185,76,34,6.93,soybean
153,11,19,7.96,barley
189,76,30,6.94,soybean
101,32,36,5.35,rice
109,32,30,5.47,rice
214,93,55,5.4,chickpea
202,95,58,5.42,chickpea
184,78,34,6.99,soybean
218,93,50,5.34,chickpea
216,96,50,5.46,chickpea
48,95,26,5.32,lentil
25,62,19,5.94,millet
106,33,35,5.02,rice
69,51,59,6.98,maize
26,64,19,5.78,millet
136,23,22,7.03,cotton
31,62,16,5.74,millet
111,36,32,5.1,rice
168,69,60,6.11,sugarcane
22,73,13,5.75,millet
55,96,20,5.34,lentil
21,71,17,5.89,millet
188,78,31,6.92,soybean
58,96,24,5.37,lentil
156,15,18,7.66,barley
64,51,50,6.83,maize
20,64,18,5.79,millet
48,87,21,5.33,lentil
47,98,20,5.33,lentil
153,17,19,7.55,barley
178,66,68,6.2,sugarcane
143,19,11,7.75,barley
124,25,22,7.25,cotton
215,95,53,5.21,chickpea
34,76,12,5.94,millet
80,42,44,6.44,wheat
38,61,18,6.0,millet
96,48,40,6.39,wheat
126,29,29,7.41,cotton
198,74,35,7.08,soybean
26,67,19,5.55,millet
24,78,10,5.86,millet
34,70,16,5.73,millet
75,53,50,6.88,maize
110,38,30,5.16,rice
167,63,66,6.2,sugarcane
43,88,28,5.19,lentil
59,94,23,5.35,lentil
99,48,44,6.16,wheat
47,98,23,5.4,lentil
58,87,26,5.31,lentil
133,25,25,7.28,cotton
148,15,11,7.92,barley
157,14,16,7.72,barley
218,95,53,5.4,chickpea
216,92,59,5.41,chickpea
132,20,20,7.03,cotton
117,39,32,5.08,rice
82,47,46,6.06,wheat
81,46,45,6.37,wheat
73,59,50,6.65,maize
22,71,16,5.5,millet
162,68,63,6.22,sugarcane
81,45,49,6.14,wheat
160,69,61,6.01,sugarcane
53,87,26,5.13,lentil
114,37,35,5.4,rice
31,67,11,5.82,millet
113,31,36,5.21,rice
55,90,20,5.08,lentil
20,62,14,5.72,millet
115,35,37,5.09,rice
130,29,20,7.31,cotton
140,11,18,7.93,barley
83,41,41,6.02,wheat
173,61,61,6.12,sugarcane
155,18,13,7.8,barley
167,69,68,6.06,sugarcane
121,21,25,7.16,cotton
60,51,55,6.81,maize
170,61,61,6.21,sugarcane
109,37,37,5.18,rice
170,65,66,6.1,sugarcane
161,67,67,6.22,sugarcane
89,40,43,6.14,wheat
165,60,62,6.27,sugarcane
117,31,31,5.33,rice
194,71,32,7.1,soybean
25,78,10,5.6,millet
210,93,52,5.4,chickpea
31,67,17,5.83,millet
24,64,17,5.67,millet
92,41,48,6.32,wheat
54,99,24,5.02,lentil
172,65,61,6.38,sugarcane
51,97,28,5.08,lentil
199,79,36,7.16,soybean
34,78,13,5.98,millet
67,55,53,6.55,maize
188,77,37,6.9,soybean
131,20,28,7.03,cotton
156,13,13,7.98,barley
157,16,15,7.57,barley
83,49,46,6.2,wheat
192,70,38,7.18,soybean
155,12,16,7.59,barley
76,54,52,6.83,maize
173,62,62,6.2,sugarcane
133,29,27,7.26,cotton
164,69,68,6.07,sugarcane
133,23,26,7.15,cotton
110,37,32,5.21,rice
119,33,34,5.34,rice
138,28,29,7.12,cotton
150,17,10,7.71,barley
135,26,25,7.1,cotton
197,76,36,7.04,soybean
50,99,22,5.14,lentil
182,76,32,6.82,soybean
33,75,18,5.6,millet
40,83,29,5.38,lentil
197,77,32,7.16,soybean
56,82,20,5.09,lentil
208,93,58,5.32,chickpea
186,79,38,7.14,soybean
49,84,22,5.48,lentil
62,52,51,6.58,maize
49,98,24,5.34,lentil
78,55,59,6.61,maize
42,80,23,5.27,lentil
175,66,67,6.28,sugarcane
97,48,45,6.42,wheat
55,80,26,5.17,lentil
87,43,41,6.26,wheat
60,55,52,6.9,maize
203,97,50,5.23,chickpea
58,92,24,5.45,lentil
24,74,14,5.76,millet
108,39,33,5.39,rice
154,16,15,7.98,barley
24,79,18,5.84,millet
83,45,49,6.27,wheat
20,79,19,5.65,millet
160,61,68,6.13,sugarcane
218,95,58,5.55,chickpea
147,11,18,7.62,barley
184,77,30,7.19,soybean
35,72,15,5.51,millet
215,92,54,5.41,chickpea
112,34,35,5.17,rice
80,49,42,6.39,wheat
174,62,65,6.3,sugarcane
194,73,38,7.08,soybean
59,95,27,5.26,lentil
24,62,15,5.94,millet
177,67,64,6.29,sugarcane
42,99,26,5.01,lentil
191,71,39,6.95,soybean
67,54,55,6.62,maize
196,77,30,7.05,soybean
204,96,54,5.52,chickpea
39,61,15,5.65,millet
50,83,21,5.32,lentil
163,68,65,6.21,sugarcane
189,79,34,6.9,soybean
195,71,37,7.01,soybean
206,95,57,5.54,chickpea
188,72,33,6.91,soybean
43,97,21,5.22,lentil
138,21,28,7.24,cotton
136,21,27,7.12,cotton
201,98,57,5.21,chickpea
206,90,59,5.41,chickpea
175,66,69,6.15,sugarcane
146,12,16,7.57,barley
137,27,21,7.11,cotton
126,27,22,7.35,cotton
87,43,43,6.39,wheat
167,67,66,6.23,sugarcane
103,31,30,5.39,rice
75,55,58,6.81,maize
144,14,18,7.7,barley
116,38,31,5.38,rice
48,99,28,5.29,lentil
198,74,39,6.96,soybean
187,73,38,7.12,soybean
117,34,30,5.09,rice
42,85,20,5.22,lentil
161,68,63,6.06,sugarcane
146,17,14,7.62,barley
201,99,57,5.32,chickpea
199,77,34,6.86,soybean
114,39,32,5.22,rice
93,40,41,6.41,wheat
115,32,33,5.32,rice
150,19,14,7.63,barley
43,94,20,5.32,lentil
218,98,50,5.25,chickpea
83,46,46,6.04,wheat
212,91,59,5.26,chickpea
94,40,46,6.03,wheat
193,71,39,6.86,soybean
150,15,13,7.69,barley
179,63,68,6.18,sugarcane
75,58,54,6.96,maize
217,93,58,5.41,chickpea
27,77,17,5.85,millet
24,67,11,5.58,millet
197,74,37,7.05,soybean
117,33,31,5.42,rice
67,57,57,6.78,maize
95,45,42,6.13,wheat
203,93,51,5.6,chickpea
182,72,38,6.95,soybean
161,60,67,6.13,sugarcane
156,13,14,7.9,barley
46,90,22,5.31,lentil
121,22,22,7.3,cotton
62,59,52,6.92,maize
73,50,54,6.98,maize
97,47,43,6.49,wheat
54,93,22,5.1,lentil
69,59,53,6.89,maize
62,51,55,6.78,maize
85,48,41,6.18,wheat
179,67,68,6.17,sugarcane
140,16,16,7.86,barley
91,44,41,6.31,wheat
155,18,11,7.73,barley
57,80,21,5.27,lentil
24,64,16,5.89,millet
155,15,13,7.97,barley
191,78,38,6.96,soybean
116,30,31,5.02,rice
112,31,38,5.39,rice
53,85,20,5.46,lentil
218,91,53,5.49,chickpea
111,34,37,5.46,rice
164,68,68,6.13,sugarcane
216,90,56,5.38,chickpea
188,70,36,6.89,soybean
218,90,57,5.44,chickpea
150,12,14,7.62,barley
54,84,27,5.23,lentil
32,62,18,5.76,millet
148,14,18,7.83,barley
49,88,22,5.07,lentil
118,37,34,5.19,rice
49,94,29,5.35,lentil
201,93,51,5.27,chickpea
61,58,57,6.71,maize
57,95,27,5.24,lentil
189,71,39,6.86,soybean
201,92,59,5.28,chickpea
164,68,61,6.2,sugarcane
217,95,53,5.47,chickpea
132,25,27,7.3,cotton
71,58,53,6.69,maize
74,52,55,6.66,maize
110,31,38,5.18,rice
38,61,15,5.97,millet
65,50,54,6.68,maize
77,54,55,6.8,maize
192,77,30,7.11,soybean
197,75,32,7.12,soybean
213,99,59,5.41,chickpea
158,15,18,7.54,barley
129,21,26,7.22,cotton
70,50,51,6.93,maize
192,79,35,6.81,soybean
207,97,51,5.26,chickpea
42,91,23,5.47,lentil
193,73,36,6.87,soybean
183,75,32,6.95,soybean
88,49,44,6.15,wheat
40,81,28,5.2,lentil
144,12,19,7.75,barley
192,79,30,6.81,soybean
73,52,53,6.51,maize
209,92,56,5.41,chickpea
131,25,29,7.28,cotton
187,73,39,6.91,soybean
99,43,45,6.47,wheat
104,36,33,5.02,rice
216,97,54,5.39,chickpea
162,68,67,6.05,sugarcane
172,67,61,6.2,sugarcane
102,37,37,5.1,rice
51,81,28,5.0,lentil
166,61,60,6.29,sugarcane
36,72,18,5.56,millet
85,44,45,6.04,wheat
85,42,44,6.26,wheat
198,73,35,6.81,soybean
77,53,58,6.86,maize
28,76,17,5.98,millet
27,60,18,5.92,millet
149,16,14,7.57,barley
82,41,45,6.16,wheat
204,94,53,5.27,chickpea
194,75,39,7.09,soybean
206,99,51,5.31,chickpea
23,61,12,5.88,millet
82,49,44,6.21,wheat
49,81,23,5.45,lentil
42,80,22,5.06,lentil
101,39,30,5.29,rice
67,58,59,6.59,maize
104,32,38,5.41,rice
99,47,48,6.21,wheat
135,29,25,7.25,cotton
100,38,34,5.05,rice
127,25,25,7.32,cotton
165,60,66,6.36,sugarcane
187,76,37,6.94,soybean
41,89,22,5.12,lentil
126,28,24,7.08,cotton
49,94,21,5.44,lentil
123,20,25,7.17,cotton
22,64,16,5.88,millet
24,79,11,5.63,millet
205,99,53,5.24,chickpea
97,48,45,6.45,wheat
123,25,28,7.28,cotton
95,48,40,6.39,wheat
143,14,18,7.8,barley
183,77,36,6.88,soybean
175,62,68,6.3,sugarcane
204,92,50,5.57,chickpea
143,10,17,7.65,barley
128,25,22,7.08,cotton
32,65,16,5.99,millet
98,46,45,6.09,wheat
55,86,24,5.21,lentil
20,67,16,5.57,millet
166,60,65,6.28,sugarcane
160,61,61,6.3,sugarcane
99,41,41,6.46,wheat
166,68,65,6.33,sugarcane
191,73,39,7.05,soybean
165,61,62,6.06,sugarcane
22,75,19,5.99,millet
185,70,36,7.07,soybean
71,51,52,6.62,maize
211,92,55,5.2,chickpea
132,24,28,7.33,cotton
47,81,20,5.33,lentil
96,44,40,6.17,wheat
218,98,57,5.45,chickpea
159,11,13,7.9,barley
77,50,54,6.55,maize
37,72,17,5.51,millet
202,98,59,5.31,chickpea
188,75,34,6.97,soybean
215,92,51,5.31,chickpea
28,67,12,5.66,millet
193,74,37,6.89,soybean
45,91,28,5.24,lentil
106,39,30,5.48,rice
38,60,15,5.53,millet
158,19,17,7.7,barley
109,37,35,5.23,rice
217,98,56,5.53,chickpea
25,74,11,5.66,millet
33,66,14,5.57,millet
171,67,67,6.25,sugarcane
146,11,10,7.83,barley
115,39,39,5.33,rice
185,75,35,6.85,soybean
183,76,39,6.88,soybean
186,74,36,7.0,soybean
184,72,32,6.81,soybean
140,15,13,8.0,barley
173,63,68,6.09,sugarcane
107,32,30,5.13,rice
157,12,15,7.78,barley
98,45,45,6.44,wheat
70,57,56,6.52,maize
30,60,16,5.7,millet
34,74,18,5.81,millet
68,51,54,6.65,maize
48,87,26,5.04,lentil
51,92,26,5.15,lentil
195,76,35,6.99,soybean
94,48,44,6.44,wheat
208,95,50,5.27,chickpea
69,52,56,6.63,maize
201,93,54,5.48,chickpea
186,74,38,7.19,soybean
57,94,29,5.18,lentil
127,25,23,7.05,cotton
63,50,53,6.74,maize
112,39,36,5.32,rice
193,79,37,6.94,soybean
94,45,41,6.32,wheat
139,24,26,7.44,cotton
201,98,57,5.34,chickpea
97,45,40,6.22,wheat
85,43,49,6.0,wheat
57,94,27,5.3,lentil
136,23,29,7.33,cotton
146,12,16,7.64,barley
95,47,40,6.13,wheat
131,22,25,7.27,cotton
215,95,58,5.41,chickpea
103,31,36,5.08,rice
138,26,25,7.29,cotton
138,26,25,7.21,cotton
199,79,37,6.91,soybean
179,60,68,6.06,sugarcane
48,87,23,5.33,lentil
170,67,61,6.31,sugarcane
201,99,55,5.41,chickpea
186,70,38,6.92,soybean
105,39,31,5.19,rice
160,67,61,6.2,sugarcane
198,73,36,6.93,soybean
137,21,26,7.02,cotton
194,77,33,6.95,soybean
203,97,58,5.38,chickpea
206,95,59,5.36,chickpea
151,13,14,7.63,barley
140,16,13,7.75,barley
107,38,37,5.3,rice
211,91,55,5.38,chickpea
216,92,57,5.55,chickpea
41,91,29,5.17,lentil
30,61,19,5.82,millet
32,62,16,5.94,millet
163,66,64,6.04,sugarcane
90,48,41,6.09,wheat
202,90,51,5.58,chickpea
45,80,20,5.18,lentil
25,79,15,5.9,millet
183,72,39,6.88,soybean
42,86,29,5.27,lentil
146,19,16,7.54,barley
100,31,38,5.34,rice
86,49,42,6.04,wheat
169,62,66,6.35,sugarcane
20,60,13,5.97,millet
32,61,12,5.76,millet
43,90,20,5.27,lentil
134,24,21,7.11,cotton
30,79,16,5.51,millet
25,63,12,5.56,millet
44,90,24,5.1,lentil
209,91,57,5.49,chickpea
54,90,26,5.02,lentil
217,92,56,5.56,chickpea
190,74,31,7.06,soybean
99,45,47,6.04,wheat
60,57,54,6.99,maize
62,59,53,6.94,maize
149,10,10,7.95,barley
92,48,45,6.15,wheat
33,70,16,5.71,millet
175,67,68,6.32,sugarcane
153,16,11,8.0,barley
91,40,44,6.09,wheat
30,70,11,5.5,millet
106,37,32,5.47,rice
108,36,32,5.41,rice
137,24,29,7.17,cotton
97,45,40,6.24,wheat
195,74,38,7.12,soybean
81,45,49,6.39,wheat
108,33,34,5.32,rice
192,70,30,7.19,soybean
84,40,41,6.05,wheat
98,49,41,6.23,wheat
60,53,56,6.66,maize
122,24,28,7.01,cotton
34,64,16,5.89,millet
219,96,58,5.23,chickpea
